,red,green,blue
59,"[array([30524. , 10558. , 10221. , 10214. , 11791. , 10226. ,  8913. ,
       12663. ,  8589. ,  8701. ,  9081. ,  9301.5, 11420. ,  9085. ,
        8020. ,  9066. , 33797. ,  8918. ,  8460. , 10120. ,  8517. ,
       10406. , 25432.5, 11926. , 10980. , 25953. , 11541. , 10865. ,
       10455. , 12571.5,  9325. ])]","[array([31087. , 10217. ,  9844. ,  9945. , 11894. , 10294. ,  9298. ,
       13482. ,  9498. ,  9759. , 10129. , 10659.5, 12664. , 10411. ,
        8876. , 10382. , 34365. , 10069. ,  9268. , 11203. ,  9274. ,
       11443. , 25509. , 12042.5, 11443. , 26242. , 11216. , 10887. ,
       10395. , 12899.5,  9883. ])]","[array([32932.5,  9269. ,  9076. ,  9055. , 10183. ,  9113. ,  8335. ,
       10921.5,  8500. ,  8807. ,  8879. ,  9198. , 10204. ,  8957. ,
        7976. ,  8838.5, 35784. ,  8680. ,  8371. ,  9262. ,  8122. ,
        9421. , 25461. , 10105. ,  9496. , 27217. ,  9903. ,  9541. ,
        9297. , 10944.5,  8576.5])]"
60,"[array([30494., 10547., 10222., 10111., 11804.,  9582.,  8939., 13352.,
        8597.,  8671.,  9036.,  9504., 11829.,  8769.,  8024.,  9042.,
       34760.,  8783.,  8450., 10110.,  8508., 10782., 25414., 12447.,
       10886., 25346., 12140., 10907., 10570., 10617.,  9465.])]","[array([31050., 10214.,  9839.,  9853., 11856.,  9746.,  9308., 14078.,
        9545.,  9715., 10089., 10863., 13079., 10078.,  8883., 10366.,
       35326.,  9948.,  9259., 11195.,  9264., 11870., 25513., 12593.,
       11425., 25619., 11812., 10928., 10474., 10719.,  9892.])]","[array([32866.,  9251.,  9041.,  9002., 10168.,  8521.,  8351., 11448.,
        8533.,  8682.,  8912.,  9332., 10484.,  8659.,  7982.,  8853.,
       36741.,  8625.,  8378.,  9272.,  8116.,  9715., 25467., 10444.,
        9492., 26520., 10220.,  9563.,  9365.,  9311.,  8627.])]"
61,"[array([30303. , 10540. ,  9942. ,  9937. , 12299. ,  7958. ,  9013. ,
       13107. ,  8658.5,  8590. ,  9046.5,  9051. , 12227.5,     0. ,
        8041. ,  9048. , 35391. ,  8645. ,  8497.5, 10001. ,  8508. ,
       11221. , 24867. , 11865. , 10610. , 24640. , 16998. , 10871. ,
       10648. , 10283. ,  9525.5])]","[array([30849. , 10250. ,  9616. ,  9704. , 12326.5,  8293. ,  9360. ,
       13796.5,  9594. ,  9529. , 10081. , 10461.5, 13417. ,     0. ,
        8902. , 10355. , 35942. ,  9758. ,  9297. , 11090. ,  9265. ,
       12297. , 24982.5, 12134. , 11177. , 24867. , 16798. , 10940. ,
       10553. , 10485. ,  9916. ])]","[array([32650. ,  9243. ,  8854. ,  8840. , 10472. ,  6556.5,  8403. ,
       11161.5,  8560. ,  8441. ,  8947. ,  8981. , 10757. ,     0. ,
        7994. ,  8851. , 37312. ,  8453. ,  8400. ,  9194. ,  8112. ,
       10042.5, 24886. , 10103. ,  9379. , 25681. , 15564.5,  9556. ,
        9421. ,  9134. ,  8665. ])]"
62,"[array([29523. , 10590. ,     0. ,     0. , 12795. ,     0. ,  9159. ,
           0. ,  8744. ,     0. ,  9016. ,  7828. , 12258. ,     0. ,
        8057. ,  8813. , 35051. ,     0. ,  8526. ,     0. ,  8512. ,
       11729. , 23398. , 10807. ,  7632. ,     0. , 16316.5, 10789. ,
       10788. , 10303. ,  9318. ])]","[array([30061.5, 10405. ,     0. ,     0. , 12829.5,     0. ,  9490. ,
           0. ,  9692. ,     0. , 10047. ,  8550.5, 13381. ,     0. ,
        8921. , 10093. , 35612. ,     0. ,  9292. ,     0. ,  9273. ,
       12856. , 23598.5, 11313. ,  7979. ,     0. , 16205. , 10896. ,
       10702. , 10510. ,  9761. ])]","[array([31841.5,  9271. ,     0. ,     0. , 10735. ,     0. ,  8484. ,
           0. ,  8591.5,     0. ,  8964. ,  6405.5, 10762.5,     0. ,
        8010. ,  8648. , 36919. ,     0. ,  8398. ,     0. ,  8112. ,
       10379. , 23466. ,  9454. ,  6971.5,     0. , 15010.5,  9502. ,
        9482.5,  9111. ,  8510. ])]"
63,"[array([30499. , 10541. ,  9159. ,     0. , 12769. ,     0. ,  8992. ,
       10452.5,  8741. ,     0. ,  8925. ,  8214. , 12904. ,     0. ,
        8025. ,  8831. , 35334. ,     0. ,  8548. ,  9735.5,  8546. ,
       12256.5, 22725. , 12414. ,  9632. ,     0. , 14734.5, 10802. ,
       10676. ,  9931. ,  9245. ])]","[array([31044. , 10283. ,  8971.5,     0. , 12844. ,     0. ,  9423. ,
       11180. ,  9711. ,     0. ,  9965. ,  9130. , 13920. ,     0. ,
        8874. , 10098. , 35894. ,     0. ,  9319. , 10797. ,  9321. ,
       13339. , 22941. , 12610.5, 10122. ,     0. , 14523. , 10938. ,
       10618. , 10258. ,  9811. ])]","[array([32876.5,  9245. ,  8377.5,     0. , 10832. ,     0. ,  8436. ,
        9226. ,  8637. ,     0. ,  8957. ,  7969. , 11401.5,     0. ,
        7988. ,  8682. , 37185. ,     0. ,  8401. ,  8981. ,  8130. ,
       10884. , 22668. , 10559.5,  8881. ,     0. , 12813. ,  9526. ,
        9467. ,  8925. ,  8541. ])]"
64,"[array([30335. , 10744. ,     0. ,     0. , 13040. ,     0. ,  9054. ,
           0. ,  8836. ,     0. ,  8856. ,     0. , 13483. ,     0. ,
        8006. ,  8592. , 34400.5,     0. ,  8523. ,     0. ,  8528. ,
       13221.5,     0. , 12433. ,     0. ,     0. , 12371. , 10417.5,
       10707. , 10146. ,  8809.5])]","[array([30867.5, 10476. ,     0. ,     0. , 13133. ,     0. ,  9477. ,
           0. ,  9824. ,     0. ,  9910. ,     0. , 14360.5,     0. ,
        8860. ,  9791.5, 34988. ,     0. ,  9304. ,     0. ,  9314. ,
       14270.5,     0. , 12686. ,     0. ,     0. , 12182. , 10765. ,
       10641. , 10402. ,  9547. ])]","[array([32690. ,  9387. ,     0. ,     0. , 11036. ,     0. ,  8472. ,
           0. ,  8710. ,     0. ,  8979. ,     0. , 12037. ,     0. ,
        7980. ,  8471. , 36206.5,     0. ,  8386. ,     0. ,  8125. ,
       11743. ,     0. , 10563. ,     0. ,     0. , 10514.5,  9278.5,
        9498. ,  9067. ,  8352. ])]"
65,"[array([    0. , 29477. ,  9330. , 10670. ,  9705. ,     0. ,  9610. ,
        9220. , 13295.5,     0. ,     0. ,  9611. ,  9259. ,     0. ,
        9128. ,     0. ,     0. ,  9142.5,  8465. ,  8866. , 10498. ,
           0. ,     0. ,  8356. ,  9391. , 26474. , 32174.5,     0. ,
           0. ,  9212. ,  9108. ,     0. ,  8641. ,  9182.5, 11305. ,
       26816.5,  6948. , 10507. ,  9640. , 21444. ,  9807. , 11894. ,
       11873. ,  9434. , 10455. ,  8648.5, 10882. , 10060. ])]","[array([    0. , 30119.5,  9748.5, 10472. ,  9696. ,     0. ,  9755. ,
        9681. , 13098. ,     0. ,     0. ,  9711. ,  9953. ,     0. ,
        9567. ,     0. ,     0. ,  9915. ,  9327. ,  9972.5, 11335.5,
           0. ,     0. ,  9187. , 10459. , 27013.5, 32825.5,     0. ,
           0. ,  9858.5, 10027. ,     0. ,  9369. ,  9963.5, 12204. ,
       26919.5,  7493. , 10968. , 10238. , 21647.5, 10316. , 11627.5,
       11992. ,  9961.5, 10465. ,  9252.5, 10880. , 10278. ])]","[array([    0. , 31953. ,  8509. ,  9250. ,  8688. ,     0. ,  8602. ,
        7931. , 10738.5,     0. ,     0. ,  8634. ,  8484.5,     0. ,
        8475. ,     0. ,     0. ,  8650. ,  8055.5,  8242. ,  9318. ,
           0. ,     0. ,  8182. ,  8752. , 27884. , 34213. ,     0. ,
           0. ,  8589. ,  8509. ,     0. ,  8169. ,  8311. ,  9819. ,
       27358. ,  3558. ,  9124.5,  8793. , 22013. ,  8837. , 10030. ,
       10300. ,  8606. ,  9085.5,  7555. ,  9196. ,  8773. ])]"
66,"[array([    0. , 30055. ,     0. , 10588. ,     0. ,     0. ,     0. ,
           0. , 14139. ,     0. ,     0. ,  9420. ,     0. ,     0. ,
        8911. ,     0. ,     0. ,  8990. ,  7383.5,     0. , 10634. ,
           0. ,     0. ,  8220. ,  9024. ,     0. , 32377. ,     0. ,
           0. ,  8816. ,     0. ,     0. ,  8555. ,     0. , 11199. ,
       25780. ,     0. , 10510.5,  7678. ,     0. ,     0. , 11889. ,
       11617. ,     0. , 10426. ,     0. , 10433. ,  9579. ])]","[array([    0. , 30711. ,     0. , 10382. ,     0. ,     0. ,     0. ,
           0. , 13727. ,     0. ,     0. ,  9556. ,     0. ,     0. ,
        9456. ,     0. ,     0. ,  9843. ,  7942. ,     0. , 11843.5,
           0. ,     0. ,  9102. , 10245. ,     0. , 33036. ,     0. ,
           0. ,  9567. ,     0. ,     0. ,  9259. ,     0. , 12154. ,
       25970. ,     0. , 11047. ,  8146. ,     0. ,     0. , 11616. ,
       11736. ,     0. , 10396. ,     0. , 10472. , 10063. ])]","[array([    0. , 32556. ,     0. ,  9188. ,     0. ,     0. ,     0. ,
           0. , 11331. ,     0. ,     0. ,  8471. ,     0. ,     0. ,
        8377. ,     0. ,     0. ,  8567. ,  5851.5,     0. ,  9364. ,
           0. ,     0. ,  8119. ,  8592. ,     0. , 34434. ,     0. ,
           0. ,  8471. ,     0. ,     0. ,  8124. ,     0. ,  9739. ,
       26382.5,     0. ,  9077. ,  7278.5,     0. ,     0. ,  9937. ,
       10075. ,     0. ,  9013. ,     0. ,  8879. ,  8556. ])]"
67,"[array([    0., 29075.,     0., 10546.,     0.,     0.,     0.,     0.,
       15469.,     0.,     0.,  9357.,     0.,     0.,  8813.,     0.,
           0.,  8990.,     0.,     0., 11109.,     0.,     0.,  8209.,
        8658.,     0., 32786.,     0.,     0.,  8641.,     0.,     0.,
        8497.,     0., 11505.,     0.,     0., 10374.,     0.,     0.,
           0., 12383., 10879.,     0., 10384.,     0., 10706.,  8895.])]","[array([    0. , 29690. ,     0. , 10330. ,     0. ,     0. ,     0. ,
           0. , 14894.5,     0. ,     0. ,  9484. ,     0. ,     0. ,
        9430. ,     0. ,     0. ,  9862. ,     0. ,     0. , 12446. ,
           0. ,     0. ,  9097. ,  9853. ,     0. , 33439. ,     0. ,
           0. ,  9454.5,     0. ,     0. ,  9207. ,     0. , 12548. ,
           0. ,     0. , 10947. ,     0. ,     0. ,     0. , 12036. ,
       11087. ,     0. , 10386. ,     0. , 10630. ,  9697. ])]","[array([    0. , 31411. ,     0. ,  9148. ,     0. ,     0. ,     0. ,
           0. , 13114. ,     0. ,     0. ,  8414. ,     0. ,     0. ,
        8372. ,     0. ,     0. ,  8579. ,     0. ,     0. ,  9646.5,
           0. ,     0. ,  8101. ,  8204.5,     0. , 34860. ,     0. ,
           0. ,  8415. ,     0. ,     0. ,  8098. ,     0. ,  9931. ,
           0. ,     0. ,  8989. ,     0. ,     0. ,     0. , 10175. ,
        9442. ,     0. ,  8979. ,     0. ,  9089. ,  8235. ])]"
68,"[array([    0. , 28172.5,     0. , 10397. , 10043. ,     0. , 10306. ,
           0. , 15405. , 10827. ,     0. ,  9319. , 10395. ,     0. ,
        8914. ,  8824. ,     0. ,  9024. , 15008. ,     0. , 10188. ,
        8893. ,     0. ,  8227. ,  9632.5,     0. , 32273. ,  9093. ,
           0. ,  9005. ,  9876. ,     0. ,  8644. ,     0. , 11380. ,
       28733. ,     0. , 10685. , 10410.5, 23799.5,     0. , 12081. ,
       11371. ,     0. , 10572. ,     0. , 10673. , 10166. ])]","[array([    0. , 28745. ,     0. , 10200.5,  9841. ,     0. , 10089. ,
           0. , 15047. , 11174. ,     0. ,  9492. , 10736. ,     0. ,
        9506. ,  9616. ,     0. ,  9911. , 16106.5,     0. , 11294. ,
       10136. ,     0. ,  9099. , 10760. ,     0. , 32872. , 10223. ,
           0. ,  9798. , 10820. ,     0. ,  9331. ,     0. , 12247. ,
       28724. ,     0. , 10987. , 10860. , 24075. ,     0. , 11698. ,
       11469. ,     0. , 10476. ,     0. , 10719. , 10203. ])]","[array([    0. , 30475. ,     0. ,  9166. ,  8893. ,     0. ,  8985. ,
           0. , 13143. ,  9158. ,     0. ,  8478. ,  9110. ,     0. ,
        8433. ,  8501. ,     0. ,  8636. , 14372.5,     0. ,  9243. ,
        8636.5,     0. ,  8111. ,  8920. ,     0. , 34245. ,  8660. ,
           0. ,  8528. ,  9011. ,     0. ,  8185. ,     0. ,  9896. ,
       29185.5,     0. ,  9237. ,  9178. , 24838. ,     0. , 10183. ,
        9875. ,     0. ,  9119. ,     0. ,  9103. ,  8876. ])]"
